"","ID","Gene.symbol"
"206","206043_s_at","ATP2C2"
"207","206068_s_at","ACADL"
"208","206070_s_at","EPHA3"
"209","206159_at","GDF10"
"210","206167_s_at","ARHGAP6"
"211","206214_at","PLA2G7"
"212","206385_s_at","ANK3"
"213","206407_s_at","CCL13"
"214","206457_s_at","DIO1"
"215","206481_s_at","LDB2"
"216","206483_at","LRRC6"
"217","206488_s_at","CD36"
"218","206517_at","CDH16"
"219","206529_x_at","SLC26A4"
"220","206595_at","CST6"
"221","206600_s_at","SLC16A5"
"222","206714_at","ALOX15B"
"223","206765_at","KCNJ2"
"224","206806_at","DGKI"
"225","206809_s_at","HNRNPA3///HNRNPA3P1"
"226","206884_s_at","SCEL"
"227","206953_s_at","ADGRL2"
"228","207030_s_at","CSRP2"
"229","207047_s_at","CLCNKB///CLCNKA"
"230","207144_s_at","CITED1"
"231","207194_s_at","ICAM4"
"232","207415_at","PLA2R1"
"233","207557_s_at","RYR2"
"234","207691_x_at","ENTPD1"
"235","207761_s_at","METTL7A"
"236","207789_s_at","DPP6"
"237","207808_s_at","PROS1"
"238","207826_s_at","ID3"
"239","207847_s_at","MUC1"
"240","207871_s_at","MIR6132///ST7-OT3///ST7"
"241","207980_s_at","CITED2"
"242","207981_s_at","ESRRG"
"243","208025_s_at","HMGA2"
"244","208158_s_at","OSBPL1A"
"245","208161_s_at","ABCC3"
"246","208228_s_at","FGFR2"
"247","208399_s_at","EDN3"
"248","208454_s_at","CPQ"
"249","208638_at","PDIA6"
"250","208711_s_at","CCND1"
"251","208712_at","CCND1"
"252","208758_at","ATIC"
"253","208846_s_at","VDAC3"
"254","208891_at","DUSP6"
"255","208892_s_at","DUSP6"
"256","208943_s_at","SEC62"
"257","208949_s_at","LGALS3"
"258","209004_s_at","FBXL5"
"259","209116_x_at","HBB"
"260","209123_at","QDPR"
"261","209135_at","ASPH"
"262","209154_at","P2RX5-TAX1BP3///TAX1BP3"
"263","209173_at","AGR2"
"264","209189_at","FOS"
"265","209227_at","TUSC3"
"266","209228_x_at","TUSC3"
"267","209242_at","PEG3"
"268","209250_at","DEGS1"
"269","209270_at","LAMB3"
"270","209274_s_at","ISCA1"
"271","209288_s_at","CDC42EP3"
"272","209291_at","ID4"
"273","209292_at","ID4"
"274","209293_x_at","ID4"
"275","209295_at","TNFRSF10B"
"276","209325_s_at","RGS16"
"277","209360_s_at","LOC101928269///LOC100506403///RUNX1"
"278","209395_at","CHI3L1"
"279","209396_s_at","CHI3L1"
"280","209447_at","SYNE1"
"281","209457_at","DUSP5"
"282","209458_x_at","HBA2///HBA1"
"283","209469_at","GPM6A"
"284","209470_s_at","GPM6A"
"285","209473_at","ENTPD1"
"286","209474_s_at","ENTPD1"
"287","209501_at","LOC101060399///CDR2"
